term,definition,domain
chopper circuit,"An electrical engineering term meaning kıyıcı devre, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
solar panel,"An electrical engineering term meaning güneş paneli, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
solar farm,"An electrical engineering term meaning güneş enerjisi santrali, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
wind turbine,"An electrical engineering term meaning rüzgar türbini, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
wind farm,"An electrical engineering term meaning rüzgar enerjisi santrali, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
lightning rod,"An electrical engineering term meaning paratoner, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
photovoltaic module,"An electrical engineering term meaning fotovoltaik modül, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
solar inverter,"An electrical engineering term meaning güneş invertörü, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
turbine blade,"An electrical engineering term meaning türbin kanadı, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
battery bank,"An electrical engineering term meaning akü bankası, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
charge controller,"An electrical engineering term meaning şarj kontrol cihazı, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
solar array,"An electrical engineering term meaning güneş paneli dizisi, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
string inverter,"An electrical engineering term meaning string invertör, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
microinverter,"An electrical engineering term meaning mikro invertör, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
solar tracker,"An electrical engineering term meaning güneş takip sistemi, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
rotor speed,"An electrical engineering term meaning rotor hızı, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
grid-tied system,"An electrical engineering term meaning şebekeye bağlı sistem, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
off-grid system,"An electrical engineering term meaning şebeke dışı sistem, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
net metering,"An electrical engineering term meaning net ölçüm, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
solar irradiance,"An electrical engineering term meaning güneş ışınım şiddeti, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
nacelle,"An electrical engineering term meaning nasel (türbin kabini), used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
cut-in wind speed,"An electrical engineering term meaning devreye giriş rüzgar hızı, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
feed-in tariff,"An electrical engineering term meaning şebeke besleme tarifesi, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
renewable energy certificate,"An electrical engineering term meaning yenilenebilir enerji sertifikası, used in renewable energy contexts on site, in drawings or in technical documentation.",electrical
