term,turkishMeaning,definition,exampleSentence,turkishExample,domain
site entrance,şantiye girişi,"A general expression meaning “şantiye girişi”, used in realistic EngineerOS work-life contexts.",He mentioned the site entrance while explaining the problem.,Problemi açıklarken şantiye girişi konusundan bahsetti.,general-english
ashamed,utanmış,"A practical English term meaning utanmış, used in daily work-life communication.",The ashamed item must be reviewed before the report is closed.,Utanmış kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
attitude,tutum,"A practical English term meaning tutum, used in daily work-life communication.",Please write the word attitude clearly in your notes.,Lütfen notlarına tutum kelimesini açıkça yaz.,general-english
business lunch,iş yemeği,"A general expression meaning “iş yemeği”, used in realistic EngineerOS work-life contexts.",She used the word business lunch in a clear sentence.,Bu kelimeyi açık bir cümlede iş yemeği anlamında kullandı.,general-english
casual,günlük / rahat,"An adjective meaning “günlük / rahat”, used to describe a condition, issue, status or requirement.",This is a casual point in the current discussion.,"Bu, mevcut görüşmede günlük bir noktadır.",general-english
community,topluluk,"A practical English term meaning topluluk, used in daily work-life communication.",The community came up during a normal conversation.,Topluluk konusu günlük bir konuşmada geçti.,general-english
courage,cesaret,"A practical English term meaning cesaret, used in daily work-life communication.",He mentioned the courage while explaining the problem.,Problemi açıklarken cesaret konusundan bahsetti.,general-english
custom,gelenek / özel,"A practical English term meaning gelenek / özel, used in daily work-life communication.",The custom was important in the short discussion.,Kısa görüşmede gelenek önemliydi.,general-english
disturb,rahatsız etmek,"A practical English term meaning rahatsız etmek, used in daily work-life communication.",Please write the word disturb clearly in your notes.,Lütfen notlarına rahatsız etmek kelimesini açıkça yaz.,general-english
emotion,duygu,"A practical English term meaning duygu, used in daily work-life communication.",She used the word emotion in a clear sentence.,Bu kelimeyi açık bir cümlede duygu anlamında kullandı.,general-english
emotional,duygusal,"An adjective meaning “duygusal”, used to describe a condition, issue, status or requirement.",This is a emotional point in the current discussion.,"Bu, mevcut görüşmede duygusal bir noktadır.",general-english
occasion,durum / vesile,"A practical English term meaning durum / vesile, used in daily work-life communication.",The occasion came up during a normal conversation.,Durum konusu günlük bir konuşmada geçti.,general-english
relationship,ilişki,"A practical English term meaning ilişki, used in daily work-life communication.",He mentioned the relationship while explaining the problem.,Problemi açıklarken ilişki konusundan bahsetti.,general-english
tradition,gelenek,"A practical English term meaning gelenek, used in daily work-life communication.",The tradition was important in the short discussion.,Kısa görüşmede gelenek önemliydi.,general-english
venue,mekân,"A practical English term meaning mekân, used in daily work-life communication.",Please write the word venue clearly in your notes.,Lütfen notlarına mekân kelimesini açıkça yaz.,general-english
representative,temsilci,"An adjective meaning “temsilci”, used to describe a condition, issue, status or requirement.",She used the word representative in a clear sentence.,Bu kelimeyi açık bir cümlede temsilci anlamında kullandı.,general-english
generate,üretmek,"A practical English term meaning üretmek, used in daily work-life communication.",The meaning of generate was clear from the context.,Üretmek anlamı bağlamdan açıkça anlaşılıyordu.,general-english
boarding pass,biniş kartı,"A general expression meaning “biniş kartı”, used in realistic EngineerOS work-life contexts.",The boarding pass came up during a normal conversation.,Biniş kartı konusu günlük bir konuşmada geçti.,general-english
currency,para birimi,"A practical English term meaning para birimi, used in daily work-life communication.",He mentioned the currency while explaining the problem.,Problemi açıklarken para birimi konusundan bahsetti.,general-english
embassy,büyükelçilik,"A practical English term meaning büyükelçilik, used in daily work-life communication.",The embassy was important in the short discussion.,Kısa görüşmede büyükelçilik önemliydi.,general-english
fare,ücret,"A practical English term meaning ücret, used in daily work-life communication.",Please write the word fare clearly in your notes.,Lütfen notlarına ücret kelimesini açıkça yaz.,general-english
farther,daha uzağa,"A practical English term meaning daha uzağa, used in daily work-life communication.",She used the word farther in a clear sentence.,Bu kelimeyi açık bir cümlede daha uzağa anlamında kullandı.,general-english
flight ticket,uçak bileti,"A travel English term meaning uçak bileti, used for airport, hotel, taxi, restaurant or relocation situations.",The flight ticket is important for my trip tomorrow.,Seyahatten önce uçak bileti ile ilgili bilgiyi kontrol etmem gerekiyor.,general-english
immigration,göç / göçmenlik,"A practical English term meaning göç / göçmenlik, used in daily work-life communication.",The immigration came up during a normal conversation.,Göç konusu günlük bir konuşmada geçti.,general-english
travel distance,seyahat mesafe,"A general expression meaning “seyahat mesafe”, used in realistic EngineerOS work-life contexts.",He mentioned the travel distance while explaining the problem.,Problemi açıklarken seyahat mesafe konusundan bahsetti.,general-english
ambition,hırs / hedef,"A practical English term meaning hırs / hedef, used in daily work-life communication.",The ambition was important in the short discussion.,Kısa görüşmede hırs önemliydi.,general-english
candidate,aday,"A practical English term meaning aday, used in daily work-life communication.",Please write the word candidate clearly in your notes.,Lütfen notlarına aday kelimesini açıkça yaz.,general-english
hire,işe almak / kiralamak,"A practical English term meaning işe almak / kiralamak, used in daily work-life communication.",She used the word hire in a clear sentence.,Bu kelimeyi açık bir cümlede işe almak anlamında kullandı.,general-english
professional,profesyonel,"An adjective meaning “profesyonel”, used to describe a condition, issue, status or requirement.",This is a professional point in the current discussion.,"Bu, mevcut görüşmede profesyonel bir noktadır.",general-english
resume,devam etmek / CV,"A practical English term meaning devam etmek / CV, used in daily work-life communication.",The resume came up during a normal conversation.,Devam etmek konusu günlük bir konuşmada geçti.,general-english
sickleave,hastalık izni,"A practical English term meaning hastalık izni, used in daily work-life communication.",He mentioned the sickleave while explaining the problem.,Problemi açıklarken hastalık izni konusundan bahsetti.,general-english
technically,teknik olarak,"An adverb meaning “teknik olarak”, used to describe how or when an action is done.",Please respond technically if the consultant sends comments.,Danışman yorum gönderirse lütfen teknik olarak yanıt verin.,general-english
